text,or_city,dst_city,str_date,end_date,budget
Can you check if there are any flights from Curitiba to Pittsburgh departing on Sept 2?,Curitiba,Pittsburgh,Sept 2,,
ONE first class ticket to Santios,,Santios,,,
allo I am leaving Marseille Thursday August 18 and I want to travel until September 7,Marseille,,Thursday August 18,September 7,
I want to dream of the best vacations to Santo Domingo from Calgary.,Calgary,Santo Domingo,,,
"Kingston for 2, from Tofino",Tofino,Kingston,,,
This is my first time booking a trip with a machine....hope this works....so I will be very specific. I need to go to Berlin. From Sao Paulo. We are 3 adults and 1 child. We have $14900 at most to spend on this trip. Can you figure this out? Cause if not I will call a travel agent. Please confirm that you comprehend.  Over and out.,Sao Paulo,Berlin,,,$14900
San Jose to Porto Alegre please. oh it needs to be between sept 18 to 22,San Jose,Porto Alegre,sept 18,22,
I just won the 2900 jackpot on the slot machines!!!! WooHoo! I'm wanting to take my cute little grand-babies on a trip to Punta Cana from Santiago.,Santiago,Punta Cana,,,2900
Hello! I am going to Kabul!,,Kabul,,,
"Hey man! I just finished school!!!! Yes I know, I graduated, who would have ever imagined that? haha haters gonna hate, it took me 7 years but i'm done with uniiii. Anyways, I wanna go somewhere starting August 27th. I can be gone for 10 days before starting work",,,August 27th,,
Cleveland to Fukuoka,Cleveland,Fukuoka,,,
"I am SO done with my job right now. I wanna take a nice two week vacation and getting out of Rome
what could you get me in Curitiba?",Rome,Curitiba,,,
I am ze most famous chef and i need to get to Kochi from Tijuana,Tijuana,Kochi,,,
Hi I'm from Minneapolis and I am looking for a 5 day get away for the upcoming long weekend,Minneapolis,,,,
Denver to Porto Alegre please for multiple passengers,Denver,Porto Alegre,,,
"I have 8 days off coming up. Really want to get out of the country
the country being brazil
do you have flights to mexico city?",brazil,mexico city,,,
i certainly am! can you call vitoria to los angeles an adventure? if so thats what i’d like to book,vitoria,los angeles,,,
My friends and I would like to go Belo Horizonte please.,,Belo Horizonte,,,
"Hi. I’m working with a tight budget
Turns out there’s not much pay for struggling, mildly alcoholic writers
I know, right?
Anyway
Looking for a bit of a break
Have 2500 to spend on a trip for my wife, me, and our son
Can you get us from Brasilia to Essen?",Brasilia,Essen,,,2500
"Hi. i need to get to cairo on the low
keep it flashy in terms of luxe
but no spreading the word about it..
we’re leaving from leon",leon,cairo,,,
"miami to mannheim, september 4, under 3200",miami,mannheim,september 4,,3200
"Naples to Santa Cruz. Leaving Sunday Aug 21
Budget $2000
Got anything for me bot?
Oh and this is for one person",Naples,Santa Cruz,Sunday Aug 21,,$2000
"Hello. I've received an offer of temporary employment from a global ad agency. I am currently trying to determine which office to work in
Which is entirely predicated on the selection of travel packages that you can offer me
My point of departure is Barcelona ""Look at flights to Manas please.
It must be between Aug 31 and Sep 16
It must also be less than 1900""",Barcelona,Manas,Aug 31,Sep 16,1900
Hi im from termina can we find a vacation that starts on the 13th?,termina,,the 13th,,
Anything to Minneapolis from Calgary?,Calgary,Minneapolis,,,
So I need to go far far away from my home of Paris Can you see about flights to Phoenix? ,Paris,Phoenix,,,
I AM PAPARAZZI. Kingston to Toluca. How much,Kingston,Toluca,,,
I wanna leave Tel Aviv & go 2 Vitoria with 11 adults and we will spend 2000 at most,Tel Aviv,Vitoria,,,2000
"Hi, I'm a very interesting person from Stuttgart and I need to get myself to Sapporo. I am traveling with a friend.",Stuttgart,Sapporo,,,
hi im in mannheim and want to spend a week away,mannheim,,,,
"Hi I wanna take a 12 day trip from Hiroshima to Phoenix, leaving on August 27th.",Hiroshima,Phoenix,August 27th,,
I have 11 days of time off starting on August 17. Can you offer me any vacation packages leaving from Portland?,Portland,,August 17,,
Hi there. Looking to get out of Toronto with a few friends,Toronto,,,,
you do flights from north vancouver to c-bus?,north vancouver,c-bus,,,
hello i am booking from buenos aires to tokyo,buenos aires,tokyo,,,
"hello I id like to go to manaus from ciudad juarez. 4,600$",ciudad juarez,manaus,,,"4,600$"
hey i have 14 kids. We wanna go to theed,,theed,,,
I'm looking to pay 0 to get out Tijuana,Tijuana,,,,0
Next stop is San Jose! Can you get me there?,,San Jose,,,
"I'd like to send my parents somewhere, from Kyoto",Kyoto,,,,
Do you do flights leaving from Tel Aviv?,Tel Aviv,,,,
I must go to Vancouver from Tijuana.,Tijuana,Vancouver,,,
"I have 0 budget, 16 days vacay, leaving from barcelona and am looking for possible destinations",barcelona,,,,0
"Finally get to take a vacation! I'm looking for trips leaving from Nagoya
What do you have going to Rome?",Nagoya,Rome,,,
"Hi there! I have 3800 to spend
I live in Milan
Would i be able to get to Philadelphia?",Milan,Philadelphia,,,3800
i have a modest and polite request for you to send me from sapporo to punta cana,sapporo,punta cana,,,
I need to get to Rome! It’s a family emergency! I’m in Tel Aviv!,Tel Aviv,Rome,,,
My next destination is Mexico City! But can I get there from Tijuana is the million dollar question,Tijuana,Mexico City,,,
"i want to get some work done. there are a few puppers that need my magic touch
can you get me 4 days or more in Sendai for 5000",,Sendai,,,5000
"Hello there i am looking to go on a vacation with my family to Gotham City, can you help me?",,Gotham City,,,
"Hey there, I'd love a trip from Recife to Barcelona please, can you help  me?",Recife,Barcelona,,,
So my friend and I want to go to Hamburg,,Hamburg,,,
Gotta go to Hamburg. In Puebla now,Puebla,Hamburg,,,
"im married now boi. takin my new spouse 2 mexico city
10 days
lets keep it 1500 max
cool?
leaving from detroit
do your thang",detroit,mexico city,,,1500
I don't care what you've been programmed to call yourself. Just get me from London to Cairo.,London,Cairo,,,
"Hi there. I need to go from Beijing to Montreal from Sept 12-16
1800 max",Beijing,Montreal,Sept 12,16,1800
I want to look at trips from San Jose to Dublin for 3500 and under.,San Jose,Dublin,,,3500
"Santiago to Queenstown  7 adults two children
whats the earliest flight you can put me on",Santiago,Queenstown,earliest,,
"Hey, what deals can you offer me on trips to curitiba?",,curitiba,,,
Hi! Can you help me book a family vacation? Great! I'm looking to book a trip for 7 adults and 6 kids. We live in Campinas and we are going to Berlin. What options can you offer me?,Campinas,Berlin,,,
"Hi. Need to get to Sapporo
Leaving Baltimore
Sept 9-13
Between those dates. Not flexible.",Baltimore,Sapporo,Sept 9,13,
"yo i need a flight to beijing, leaving from rio de janeiro on sunday august 21st",rio de janeiro,beijing,sunday august 21st,,
Hi I live in Seattle and I really have to get out of this seedy town for a while,Seattle,,,,
"Perhaps I should explain it another time... But first, lets book a vacation to Tijuana!",,Tijuana,,,
"You can help me by looking for some trips, so that I can escape my problems if only for a short while. I need to get out of Nagoya for a bit
You got flights to Leon?
I'd like to stay there for 10 days, and I'd like to take my wife and son",Nagoya,Leon,,,
I'd like to make a pilgrimage from Jerusalem to Indianapolis. there are 8 of us in total,Jerusalem,Indianapolis,,,
I wanna find a vacation between yesterday and the 24th for under 3200 and leaving from Tijuana,Tijuana,,yesterday,24th,3200
let me get from Detoit to Kobe,Detoit,Kobe,,,
Madonna and I need to get as far away from the paparazzi as humanly possible. We want to go to Paris from Toluca and I need to be back by September 11th because I am performing the next day.,Toluca,Paris,,September 11th,
Hi. I need to book a vacation to Long Beach between August 25 and September 3. Departure is from Paris,Paris,Long Beach,August 25,September 3,
I'm a world famous photographer and I need to book a trip on August 24. Do not disappoint me.,,,August 24,,
book me from COLORADO to athens,COLORADO,athens,,,
Good morning! I will be travelling with a colleague for business and we are thinking of tacking on a short vacation after. Do you have any flights going from Punta Cana to Cairo sometime between 26 August and 9 September?,Punta Cana,Cairo,26 August,9 September,
Hello! I need to go to Minneapolis please.,,Minneapolis,,,
Hi! We're thinking of going to Washington. Will try to get all 19 of us to go if that's possible!,,Washington,,,
I must go to La Paz from Fort Lauderdale.,Fort Lauderdale,La Paz,,,
"Hi there, I'm on vacation from Aug 30 to Sep 4 and I wanted to know where I can go on my $4600 budget. I live in Dallas btw",Dallas,,Aug 30,Sep 4,4600
I'm inquiring to see if you have trips from San Jose to Calgary,San Jose,Calgary,,,
"I have a number of potential destinations. Trying to narrow them down a little
So we are departing from Pittsburgh
There are 9 of us: 2 adults and 7 children
With 9400, can we get to Chicago?",Pittsburgh,Chicago,,,9400
Get the 17 of us out of Tofino for a few days! The majority of us want to go to Lima so let's see deals for those!,Tofino,Lima,,,
I need to get to Madrid please - quickly.,,Madrid,,,
august 25-september 3,,,august 25,september 3,
Hello!!!!! We are planning a family trip with my brother and his kids and we are thinking Gotham City would be super cool for the kids. Do you have any packages for less than $3200?,,Gotham City,,,$3200
I want to find a vacation between September 12th and 18th to San Diego from Calgary for under 1800.,Calgary,San Diego,September 12th,18th,1800
Heyyy! I would like to book an awesome trip for me and ma gurls from Fort Lauderdale to Minneapolis.,Fort Lauderdale,Minneapolis,,,
Recife to Pittsburgh for 4 adults. Only 5 star hotels,Recife,Pittsburgh,,,
I have a massively important meeting in St. Petersburg. I am in Rome at the moment.,Rome,St. Petersburg,,,
"Hey, I need to get on the next flight to Sao Paulo.  I'm in Portland.",Portland,Sao Paulo,,,
Hi there. We are three adults trying to get from Frankfurt to check out some of the hippest cities on earth,Frankfurt,,,,
"Hi there. I'm trying to take the family somewhere nice this month
I've been working hard to save up all year, and have 23400 to spend",,,this month,,23400
hey. i wanna go from birmingham,birmingham,,,,
Las Vegas to Mexico City for 7 please,Las Vegas,Mexico City,,,
Good morning to you! I'd like to take my family somewhere exotic...I've been coming up with a list of where to go from Punta Cana. Can you check on Mexico City,Punta Cana,Mexico City,,,
NYC to St. Louis,NYC,St. Louis,,,
i need to take 6 clients to Punta Cana,,Punta Cana,,,
Hi im fro termina and i want to go on vacation on August 13th,termina,,August 13th,,
I would like to take my fam jam on a vacation to Boston from Tijuana.,Tijuana,Boston,,,
"Hi there, I'd like to book a trip to Punta Cana.",,Punta Cana,,,
I need to get to porto alegre for 9 days from seattle. I only got 3600 dollars and need to get there september first. ,seattle,porto alegre,september first,,3600 dollars
Hi we want to go to San Juan,,San Juan,,,
I need to book a trip for the whole family from Tampa but we don't know where to go. Can you help us?,Tampa,,,,
HI I WANT TO GET OUT OF CIUDAD JUAREZ FROM YESTERDAY TO TWO WEEKS FROM SUNDAY COMING OK,CIUDAD JUAREZ,,YESTERDAY,TWO WEEKS FROM SUNDAY,
"Hi! I'd like to plan my honeymoon, but I've spent way too much on my wedding and need to stick to a budget of $4600. Can you offer anything to Marseille for 5 days leaving from Salvador on August 17?",Salvador,Marseille,August 17,,$4600
Working long hours in Mexico City. Can you look for trips to Kobe,Mexico City,Kobe,,,
"hi there, wayward daydreamer on the line...so i live and work in madrid, but if i were to go to, say, naples…..could you tell me about it??",madrid,naples,,,
Can you get me from Cordoba to Fukuoka?,Cordoba,Fukuoka,,,
I need to maybe go to to Ciudad Juarez,,Ciudad Juarez,,,
What packages do you have available between september 7th and 13th from Columbus to Punta Cana?,Columbus,Punta Cana,september 7th,13th,
"Hi there, im from Vitoria and I want to go on vacation",Vitoria,,,,
"Hi, I am the team manager for the Phoenix Sportsteam and I need to book the guys a short vacation, they need to relax for a few days. We are having a crappy season.",Phoenix,,,,
I'd like to go to Manaus from Miami between August 19th and September 2nd.,Miami,Manaus,August 19th,September 2nd,
Hey there! The 17 of us wants to get out of Tel Aviv for a sweet trip.,Tel Aviv,,,,
Hi I need to go to BA,,BA,,,
get me out of berlin,berlin,,,,
"Hi, I'd like to go to Burlington with my fiance.",,Burlington,,,
Hey man.  Sick of having my picture taken. Need somewhere quiet and away from everyone. Tijuana is probably a town no one wants to go to. Can you get me a ticket there?,,Tijuana,,,
hey there I’m located in Madrid and I would like to explore my travel options to visit my family back in Sydney,Madrid,Sydney,,,
Hi! I need a vacation. Not sure where I wanna go… but I’ve got 8 days off starting August 30th,,,August 30th,,
Yes I need to go help 3 pit bulls before it's too late but I have to go where it's easiest and cheapest first. Everyone thinks I'm rich but I do this mainly out of love. Can you get me something in Mexico City for $2400,,Mexico City,,,$2400
GOING FROM PORTLAND TO MANAUS. 4 KIDS TOO,PORTLAND,MANAUS,,,
"Can you get me from Indianapolis to St. Louis? I need to leave as soon as possible, something horrible has happened back home… :(:(:(",Indianapolis,St. Louis,,,
"Looking to book a swanky business trip - I have a few fish on the hook and I need some impressive digs to reel em in. There’s 5 of us, we’re in Munich, and I want to hear about your best hotel in Montreal
We’re leaving after 9/11",Munich,Montreal,after 9/11,,
Do you do flights out of San Antonio?,San Antonio,,,,
"Hi there, can you help me out with a trip? I need to get to Kingston.",,Kingston,,,
Hi. I live in Busan and I'd like to go to Las Vegas from Wednesday August 17 to Monday September 5. What's available?,Busan,Las Vegas,Wednesday August 17,Monday September 5,
ay bruh i got 3300 and some naggy ass parental figures i need out of my hair. where can u get 2 adults from maceio between like ... september 11th and 24th within my budgeT?,maceio,,september 11th,24th,3300
"Hello! I would like to book a classic Marseille getaway
Would be leaving from Birmingham City",Birmingham City,Marseille,,,
"Hey I'm thinking of going from St. Petersburg to Hamburg, can you help me?",St. Petersburg,Hamburg,,,
"heyyyyy there I just got approved to take my 10 vacation days in the upcoming weeks :smile: im looking to leaving from indianapolis, but I just wanna explore my options for now. so can you let me know what’s available under 1900?",indianapolis,,,,1900
Seattle it is!!,,Seattle,,,
"Hey! I'm so tired, I just need to get out of Busan.",Busan,,,,
Hi i got an internship in Frankfurt and need to get there on August 27th,,Frankfurt,August 27th,,
hiiiii there. I have an interview in Burlington!!!! Can you get me there?,,Burlington,,,
"I’m finally taking a break this year, and I’d like to go to Punta Cana!",,Punta Cana,,,
"I want to find a vacay between sept.12 and 19 for under 5500, leaving from Mannheim",Mannheim,,sept.12,19,5500
HEY BUD. I need to get to Mannheim out of Nagoya. I wanna leave Sept 18th,Nagoya,Mannheim,Sept 18th,,
"Hi there, I'd like to take my grandkids on vacation to Brasilia.",,Brasilia,,,
"hello
i need to book a couple things for work that are coming up
lets see.... im gonna be in leon on the 27th of august and i believe ill need to go to Ulsan from there whats available",leon,Ulsan,27th of august,,
I would like to take my wife and 4 kids on a trip from Toronto to Porto,Toronto,Porto,,,
"Hello. I'd like to leave from Tel Aviv
And go to Puebla",Tel Aviv,Puebla,,,
"Hello, so, I need the BEST hotel in Tokyo that 6100 dollars can me. I'm taking off out of Denver, heads up, and leaving August 27th
Or soon after..",Denver,Tokyo,August 27th,,6100 dollars
hi. i need a vacation. im in berlin and wondering about trips to milan,berlin,milan,,,
Need to go to Vancouver,,Vancouver,,,
We're finally going on vacation isn't that amazing? We have lots of money- 15600 even!,,,,,15600
OMG. I AM LATE AT WORK DREAMING ABOUT A TRIP. I LOVE TO DREAM REAL JOHN LENNON FAN HERE SEND ME TO MILAN I GUESS I AM GETTING THE HECK OUT OF BRASILIA,BRASILIA,MILAN,,,
Get me on the next flight to Milan baby. I’m out in Puebla currently,Puebla,Milan,,,
"Hi, I want to take my kid to Maceio. Will you be able to help me with this trip?",,Maceio,,,
"Hello, I'd like to go to Birmingham for 7 days on my honeymoon, leaving from Denver on August 18. What can you offer?",Denver,Birmingham,August 18,,
please find me a vacation between wed aug 31 and wed sept 21 for 2 adult and 2 kids for 4400$ max. leaving frmom fortaleza. if,fortaleza,,wed aug 31,wed sept 21,4400$
I wan to go to Porto alegre from Tokyo,Tokyo,Porto alegre,,,
"helllloooo, couple of lovebirds here looking to get away to Burlington for our honeymoon :heart_eyes::smiley_cat::two_women_holding_hands:",,Burlington,,,
I have 8 days for vacation starting on september 6 from dallas. What can you offer me?,dallas,,september 6,,
Do you do Burlington to Tokyo? I’m looking for September 2 to 13 specifically,Burlington,Tokyo,September 2,13,
Find me a flight from Belo Horizonte to Brasilia. First class only,Belo Horizonte,Brasilia,,,
Help! My wife is working in Berlin and I need to bring the children to see her. They are driving me crazy!,,Berlin,,,
"hi. I'm looking to go to St. Petersburg from leon
can you do this for 3100?",leon,St. Petersburg,,,3100
Hello hello :slightly_smiling_face: Looking to take the family somewhere nice next month. HAve 12400 on hand. How much would it cost to take five children and two adults from London to Belem? For around two weeks,London,Belem,,,12400
Hey there I'm looking for a trip from St. Louis to Kabul.,St. Louis,Kabul,,,
"Need to book a luxury getaway for myself and 7 clients. Leaving from Vancouver after September 14th
What've you got availble in Naples?",Vancouver,Naples,September 14th,,
I need to find a vacation between today and September 14th from Punta Cana to San Francisco,Punta Cana,San Francisco,today,September 14th,
"Hey there, I'd like to book a long vacation for myself. I live in Cordoba but thinking of going abroad to Fortaleza",Cordoba,Fortaleza,,,
i am leaving essen i have a budget of 3200,essen,,,,3200
I am one person voyaging to Tampa. I can depart from Indianapolis. Must be between 20th and 31 August.,Indianapolis,Tampa,20th,31 August,
"Planning a honeymoon, please help! Can you get me on a flight out of Punta Cana to La Paz on August 24",Punta Cana,La Paz,August 24,,
"Hello, I am planning to book a trip to pittsborgh",,pittsborgh,,,
hahah silly me... im from santo domingo. i wanna go anywhere on God's green earth. I have 9 days vacation,santo domingo,,,,
So I live in Long Beach. What do you have for Cairo?,Long Beach,Cairo,,,
"Well, this is it. Time for me to go to Queenstown!",,Queenstown,,,
Madonna and Will Smith are on a trip to Houston. A picture of them is worth millions. I need to go to Houston.,,Houston,,,
Hey I have an internship abroad I need to check some things out. I’m leaving Kochi September 8 at the earliest.. What’s available in Naples?,Kochi,Naples,September 8,,
san juan to puebla for under 5500 i will go whenever and am travelling alone ok,san juan,puebla,,,5500
Hi im from Los Angeles. looking for a good vacation,Los Angeles,,,,
hey what's available from mtl to mexico city?,mtl,mexico city,,,
Where can I go from Fort Lauderdale...for free?,Fort Lauderdale,,,,free
I wanna go to Philadelphia,,Philadelphia,,,
"SO! I am travelling with my family for a reunion
We are all leaving from Beijing and need to get to Toluca.
There will be six of us adults travelling and we need to leave between August 24 to August 27.
What can you find me?",Beijing,Toluca,August 24,August 27,
I need to book a company vacation from August 29th until September first,,,August 29th,September first,
hola. I am here in Miami,Miami,,,,
"I would like to find a hotel near a park, ideally. I only have 4500 between me and my assistant. We were thinking about looking for trips to Manaus first, we can leave from anywhere.",,Manaus,,,4500
Hi my work colleagues and I want to go to the car rally in Santo Domingo. We can leave from Belem. The rally starts August 24.,Belem,Santo Domingo,August 24,,
"Hi there, I'm looking to book a trip to Manaus. Do you think you can help me find the best deal?",,Manaus,,,
HI THERE. I NEED TO FIND MADONNA TO TAKE PICTURES OF HER AND HER FRIEND. I WORK FOR INTOUCH MAGAZINE. CAN YOU GET ME TO SAO PAULO FROM PORTO?,PORTO,SAO PAULO,,,
Looking for a trip out of SL for 3 adults 7 kids,SL,,,,
"Hi. I am leaving from Recife
Trying to see if there are any 5 star hotels in Sendai",Recife,Sendai,,,
"toronto to calgary september 9 to september 13
2600 dollars or less",toronto,calgary,september 9,september 13,2600 dollars
buenos aires pls i go from mannheim,mannheim,buenos aires,,,
ok so i am free to travel from september 13 until the 23.  can you tell me my options for Sao Paulo leaving from Sapporo please,Sapporo,Sao Paulo,september 13,23,
"Hey there, I’m a student looking to stretch 2700 to get myself a trip to an internship, hoping you can help me out here. I would be departing from Alexandria
Can you see if I can get to Manas between Aug 30 and Sept 15 on this budget?",Alexandria,Manas,Aug 30,Sept 15,2700
Hi! I'm travelling solo to Belem from Atlanta and I want to go between august 24 and september 11,Atlanta,Belem,august 24,september 11,
"Hi there, do you do flights out of Belo Horizonte?",Belo Horizonte,,,,
tofino from Santo domingo stat,Santo domingo,tofino,,,
I want to go to Monterrey from Tofino,Tofino,Monterrey,,,
I want a vacation from Sydney to Washington,Sydney,Washington,,,
do you have hotels near parks in Campinas?,,Campinas,,,
Hi im from Caprica looking to book a vacation to Hyrule,Caprica,Hyrule,,,
hello i need to get to Kyoto after the 12th of September. I am leaving from Mexico City,Mexico City,Kyoto,after the 12th of September,,
Hi im in Munich and want to go to Dallas,Munich,Dallas,,,
Stuttgart to SL,Stuttgart,SL,,,
"hello i need to get to curitiba. im going to need to stay at the most luxurious facility that you have
and im leaving from santos
on or after august 30th",santos,curitiba,august 30th,,
"They say that I’m a dreamer, but i’m not the only one. and today i am dreaming of a trip out of monterrey
can you tell me if i can get to curitiba, if i had 2800 to my name?",monterrey,curitiba,,,2800
"looking to go on a short jaunt out of town the town in question being sacramento
let me know what my options are if i wanted to leave today, and have 4 days free",sacramento,,today,,
"Say, With just 1900 dollars and little more than a dream, could I make it from Seattle to North Vancouver?",Seattle,North Vancouver,,,1900
I sure hope! I want to go to Santo Domingo!,,Santo Domingo,,,
Hi! I'm looking to book a business trip between August 26 and September 12. There's a few places I have in mind. Lets start with Rio de Janeiro.,,Rio de Janeiro,August 26,September 12,
"Hi, have you got any trips out of Jerusalem? I don’t have a destination to focus on yet I just want to ensure that you can find me trips leaving Jerusalem",Jerusalem,,,,
7 business class flights to Mexico City,,Mexico City,,,
"i need to get away from my life i need your help in finding a place to go to in Belem, preferably with very few people around something simple but at the same time very luxurious  with a private villa and a spa where my best friend and I can just relax in our private beach oh and we need a chef to cook us vegan meals",,Belem,,,
I need to impress some clients. I'd like to take them on a business trip to Hiroshima from Ulsan after September 20th.,Ulsan,Hiroshima,after September 20th,,
You can help me by finding me a vacation from Munich to San Juan between August 27 and September 3.,Munich,San Juan,August 27,September 3,
"hello. I have internship offerings and I need to check out a few cities
im leaving essen and can only spend 2900 dollars, got it???",essen,,,,2900
"Hi, I need to get to Sendai for a business meeting.",,Sendai,,,
I want to fly from Jerusalem to Rio de Janeiro,Jerusalem,Rio de Janeiro,,,
Hello. I need Paris to Barcelonna Sept 18 to 22,Paris,Barcelonna,Sept 18,22,
I want to take my five friends with me from San Diego to Frankfurt for my birthday bash,San Diego,Frankfurt,,,
"Hi there, I'd like to book a trip to Denver please",,Denver,,,
THIS IS WHAT I NEED: TIX FOR 3 ADULTS FROM BERLIN TO SENDAI. LEAVING SEPT 2 OR SOMETIME CLOSE AFTER THAT. CAN I GET THIS DONE FOR &lt;$2400?,BERLIN,SENDAI,Sept 2,,$2400
"My beeeeeauuuuuuutiful wedding will take place in Cordoba on Saturday and we decided to take a honeymoon after all, even though we will pretty broke from the wedding but it's okay, you only get married once, right?",Cordoba,,Saturday,,
Get me on a business class flight to Washington please. Coming in hot from SL,SL,Washington,,,
Hello bot. I want to go to Manas from Boston on September 2,Boston,Manas,September 2,,
I need to get out of Kabul on September 6th. Can you get me to Leon for 3200,Kabul,Leon,September 6th,,3200
I dream of one day going to San Diego and doing the pub tour. My friends have all done it and they say it's awesome.  What can you offer me in San Diego?,,San Diego,,,
"Hi, I'd like to go to Seattle from Manaus. I will be with 4 other adults and my 5 children will be coming along as well. I am willing to pay 34800, i will increase that price if needed.",Manaus,Seattle,,,34800
"Hi there :slightly_smiling_face: I just managed to get my boss to agree to a HUGE vacation time slot!! I am so excited to do some traveling. I'm traveling from Hamburg and I have a few cities I'm thinking of seeing...
Do you have packages to Tijuana?",Hamburg,Tijuana,,,
Good day! We got married last week and we'd like to go off to San Antonio for a bit!,,San Antonio,,,
Can I get to Pittsburgh from Naples?,Naples,Pittsburgh,,,
"hi there, i'm having my dream wedding this Saturday and I want to have a dream honeymoon right after :slightly_smiling_face: :slightly_smiling_face:",,,this Saturday,,
"Hi, I live in Diagon Alley and we need to go to Las Vegas in August for a graffiti convention its gonna be so chill cant wait",Diagon Alley,Las Vegas,August,,
"Hello there. I’m trying to get to to Sapporo
from Paris",Paris,Sapporo,,,
"The police are after me, and I need to leave Kobe between August 27 and September 2.",Kobe,,August 27,September 2,
melbourne to fukuoka august 24 to august 27,melbourne,fukuoka,august 24,august 27,
I want to dream of a better life and pretend I have money and vacation days left. Can you check packages from Queenstown to LA?,Queenstown,LA,,,
"I wanted to take my children - there are seven - and my beautiful wife on a vacation somewhere
We would be traveling from Fukuoka, and have 13700 to spend
Do you have flights to Santo Domingo?",Fukuoka,Santo Domingo,,,13700
I got married in Puebla this past tuesday,Puebla,,,,
you can send me to Manaus pronto,,Manaus,,,
"Hi I need to check out trips available to Houston from Athens. 5 adults and business class flights please, leaving after September 6th",Athens,Houston,September 6th,,
"I'm so excited, I get to take my entire team anywhere I want! Money is no object. Just gotta make it fit into out busy schedule. We can only go between August 31 and September 3rd.",,,August 31,September 3rd,
"Hi there, I'm coming up on the 10th anniversary with my lady, and I thought I'd treat her and I to something special this year. Boston is where I call home, and I thought it sure would be nice to get out of town for a change
What destinations are on offer from my city?",Boston,,,,
Terribly! I need to get home to Los Angeles from Milan! It's an emergency hurry!!!,Milan,Los Angeles,,,
"I'm trying to debate taking the Amtrak, bus, or flying from Birmingham to Denver",Birmingham,Denver,,,
Houston to Milan for 3,Houston,Milan,,,
"Hey, I'm looking to book my honeymoon from Houston to Santo Domingo for a week on August 26th. My budget is 1500.",Houston,Santo Domingo,August 26th,,1500
Hey looking to go to Osaka,,Osaka,,,
Morning! Lovely weather we are having :smiley:  Are you in St. Louis too? I need to book a trip!,St. Louis,,,,
I gots ta get to Minneapolis from Lima,Lima,Minneapolis,,,
Is it possible to get from Alexandria to Fukuoka for 3200,Alexandria,Fukuoka,,,3200
Alexandria to Toronto,Alexandria,Toronto,,,
I need a break BADLY. Can I please book a trip to Sao Paulo where hopefully no one will know me?,,Sao Paulo,,,
Toronto to San Diego,Toronto,San Diego,,,
Beijing to Tijuana Sept 6-Sept 9,Beijing,Tijuana,Sept 6,Sept 9,
"Hi! I want to book a 5 day trip leaving from Santa Cruz on September 2nd. I don't have a destination in mind yet, what would you recommend?",Santa Cruz,,September 2nd,,
I’m looking to book a vacation between september 18th and 22nd to Vitoria from North Vancouver for under 2700,North Vancouver,Vitoria,september 18th,22nd,2700
I want to go to San Juan.,,San Juan,,,
I would like to take my darling little munchkins and my beautiful wife with me on a lovely family vacation. We were thinking about going to Atlanta.,,Atlanta,,,
"beijing to pittsburgh, under 1700",beijing,pittsburgh,,,1700
TORONTO PLEASE AND FROM BELO HORIZONTE,BELO HORIZONTE,TORONTO,,,
Hey! I need to book a flight asap. I can leave tomorrow or any day after,,,tomorrow,,
I am leaving from Beijing and want to go to Curitiba,Beijing,Curitiba,,,
"3 adults 2 kids, leaving from burlington, destination tbd",burlington,,,,
"Hi there, I'm in Fukuoka now and I need to get to Pittsburgh asap.",Fukuoka,Pittsburgh,asap,,
I want to take a trip from Diagon Alley to Naples.,Diagon Alley,Naples,,,
"I've got a group of 5 and we're looking to go to Fortaleza leaving this weekend, Sep 3 maybe",,Fortaleza,Sep 3,,
Seoul to Long Beach. 4 kids 6 adults. 35400 budget,Seoul,Long Beach,,,35400
I am one adult travelling to Maceio. Do you have any flights out of Osaka?,Osaka,Maceio,,,
"Hello there, I'm looking for a break from the routine. I live in Recife and I'm thinking of going to Calgary",Recife,Calgary,,,
I would like to find a vacation between the 24th and 27th from San Francisco to Fort Lauderdale for 3800,San Francisco,Fort Lauderdale,24th,27th,3800
Fukuoka to Belo Horizonte. 6000. 9th to 17th.,Fukuoka,Belo Horizonte,9th,17th,6000
im broke but wanna dip out of north vancouver,north vancouver,,,,
"hi. I need to do some travelling soon
I want to go to Munich maybe",,Munich,,,
I would like to go to Hiroshima from Seoul for 3500,Seoul,Hiroshima,,,3500
Hi there! What kind of packages do you have available to Santos from Leon?,Leon,Santos,,,
"im just here at the white house
everyones out of town
touring, campaigning
blah blah blah
secret service work was supposed to be thrilling!! i wasnt expecting to just stand around guarding the bathrooms.. making sure the help dont use the first lady's toilet
i wouldnt mind running away from it all to be honest maybe start small.. what could i get to denver for? ",,denver,,,
"5 adults to Cordoba from Goiania, no budget, just luxury",Goiania,Cordoba,,,
"I need to get away from Sendai between Sept 6-17. 3 adults, 6 kids",Sendai,,Sept 6,17,
"Hi there. I’d like to book a trip for 10 adults from August 29 to Sept 1, from Tofino to Vancouver",Tofino,Vancouver,August 29,Sept 1,
Hi i wanna look into packages to san antonio,,san antonio,,,
Get me to Fukuoka,,Fukuoka,,,
you do flights out of naples?,naples,,,,
I need to get to Porto and leave Santo Domingo,Santo Domingo,Porto,,,
I need to get to Baltimore on important business,,Baltimore,,,
"hey dude. ive benn in ulsan for 2 years now with no break from work
i wanna go back to calgary and visit the fam.",ulsan,calgary,,,
